2024/09/02 14:42:27.115, 金吉路, 1500V直流 通讯状态 中断, 三级, 状态量变位, , 
2024/09/02 14:42:27.115, 金吉路, 1号电力变35kV开关 通讯状态 中断, 三级, 状态量变位, , 
2024/09/02 14:42:27.115, 金吉路, 1号电力变400V开关 通讯状态 中断, 三级, 状态量变位, , 
2024/09/02 14:42:27.115, 金吉路, 1号整流变35kV开关 通讯状态 中断, 三级, 状态量变位, , 
2024/09/02 14:42:27.115, 金吉路, 1号整流器 通讯状态 中断, 三级, 状态量变位, , 
2024/09/02 14:42:27.115, 金吉路, 2号电力变35kV开关 通讯状态 中断, 三级, 状态量变位, , 
2024/09/02 14:42:27.115, 金吉路, 2号电力变400V开关 通讯状态 中断, 三级, 状态量变位, , 
2024/09/02 14:42:27.115, 金吉路, 2号整流变35kV开关 通讯状态 中断, 三级, 状态量变位, , 
2024/09/02 14:42:27.115, 金吉路, 2号整流器 通讯状态 中断, 三级, 状态量变位, , 
2024/09/02 14:42:27.115, 金吉路, 35kV分段开关 通讯状态 中断, 三级, 状态量变位, , 
2024/09/02 14:42:27.115, 金吉路, 35kV吉停二开关 通讯状态 中断, 三级, 状态量变位, , 
2024/09/02 14:42:27.115, 金吉路, 35kV吉停二开关 通讯状态 中断, 三级, 状态量变位, , 
2024/09/02 14:42:27.115, 金吉路, 35kV吉停一开关 通讯状态 中断, 三级, 状态量变位, , 
2024/09/02 14:42:27.115, 金吉路, 35kV吉停一开关 通讯状态 中断, 三级, 状态量变位, , 
2024/09/02 14:42:27.115, 金吉路, 35kV桥吉二开关 通讯状态 中断, 三级, 状态量变位, , 
2024/09/02 14:42:27.115, 金吉路, 35kV桥吉一开关 通讯状态 中断, 三级, 状态量变位, , 
2024/09/02 14:42:27.115, 金吉路, 400V分段开关 通讯状态 中断, 三级, 状态量变位, , 
2024/09/02 14:42:27.115, 金吉路, 本所交直流屏 通讯状态 中断, 三级, 状态量变位, , 
2024/09/02 14:42:27.115, 金吉路, 隔离开关柜 通讯状态 中断, 三级, 状态量变位, , 
2024/09/02 14:42:27.115, 金吉路, 控制信号屏PLC 通讯状态 中断, 三级, 状态量变位, , 
2024/09/02 14:42:28.695, 金吉路, 金吉路 运行, 普通, 通道事项, , 
2024/09/02 14:42:28.695, 金吉路, 金吉路 运行, 一级, RTU事项, , 
2024/09/02 14:42:55.925, 金吉路, 35kV桥吉一开关 操作方式 远方, 三级, 保护信号变位, , 
2024/09/02 14:44:00.530, 金吉路, 35kV桥吉一开关 操作方式 就地, 三级, 保护信号变位, , 
2024/09/02 14:44:11.225, 金吉路, RTUSOE: 35kV桥吉一母线闸刀 位置 合位, 二级, 刀闸SOE, , 
2024/09/02 14:44:11.367, 金吉路, 35kV桥吉一母线闸刀 位置 合位, 二级, 刀闸变位, , 
2024/09/02 14:44:17.371, 金吉路, RTUSOE: 35kV桥吉一母线闸刀 位置 分位, 二级, 刀闸SOE, , 
2024/09/02 14:44:17.512, 金吉路, 35kV桥吉一母线闸刀 位置 分位, 二级, 刀闸变位, , 
2024/09/02 14:44:22.134, 金吉路, RTUSOE: 35kV桥吉一接地闸刀 位置 合位, 二级, 刀闸SOE, , 
2024/09/02 14:44:22.278, 金吉路, 35kV桥吉一接地闸刀 位置 合位, 二级, 刀闸变位, , 
2024/09/02 14:44:26.326, 金吉路, RTUSOE: 35kV桥吉一接地闸刀 位置 分位, 二级, 刀闸SOE, , 
2024/09/02 14:44:26.468, 金吉路, 35kV桥吉一接地闸刀 位置 分位, 二级, 刀闸变位, , 
2024/09/02 14:44:29.805, 金吉路, RTUSOE: 35kV桥吉一开关 位置 合位, 二级, 开关SOE, , 
2024/09/02 14:44:29.954, 金吉路, 35kV桥吉一开关 位置 合位, 二级, 开关变位, , 
2024/09/02 14:44:34.950, 金吉路, RTUSOE: 35kV桥吉一开关 位置 分位, 二级, 开关SOE, , 
2024/09/02 14:44:35.122, 金吉路, 35kV桥吉一开关 位置 分位, 二级, 开关变位, , 
2024/09/02 14:44:37.593, 金吉路, RTUSOE: 35kV桥吉一开关 线路对侧地刀位置 合位, 二级, 保护信号SOE, , 
2024/09/02 14:44:37.730, 金吉路, 35kV桥吉一开关 线路对侧地刀位置 合位, 二级, 保护信号变位, , 
2024/09/02 14:44:48.021, 金吉路, RTUSOE: 35kV桥吉一开关 线路对侧地刀位置 分位, 二级, 保护信号SOE, , 
2024/09/02 14:44:48.164, 金吉路, 35kV桥吉一开关 线路对侧地刀位置 分位, 二级, 保护信号变位, , 
2024/09/02 14:44:55.143, 金吉路, RTUSOE: 35kV桥吉一开关 过流保护 跳闸, 一级, 保护信号SOE, , 
2024/09/02 14:44:55.313, 金吉路, 35kV桥吉一开关 过流保护 跳闸, 一级, 保护信号变位, , 
2024/09/02 14:45:03.683, 金吉路, RTUSOE: 35kV桥吉一开关 过流保护 复归, 一级, 保护信号SOE, , 
2024/09/02 14:45:03.841, 金吉路, 35kV桥吉一开关 过流保护 复归, 一级, 保护信号变位, , 
2024/09/02 14:45:08.143, 金吉路, RTUSOE: 35kV桥吉一开关 零流保护 跳闸, 一级, 保护信号SOE, , 
2024/09/02 14:45:08.332, 金吉路, 35kV桥吉一开关 零流保护 跳闸, 一级, 保护信号变位, , 
2024/09/02 14:45:27.031, 金吉路, RTUSOE: 35kV桥吉一开关 零流保护 复归, 一级, 保护信号SOE, , 
2024/09/02 14:45:27.194, 金吉路, 35kV桥吉一开关 零流保护 复归, 一级, 保护信号变位, , 
2024/09/02 14:45:36.455, 金吉路, RTUSOE: 35kV桥吉一开关 失灵保护 跳闸, 一级, 保护信号SOE, , 
2024/09/02 14:45:36.625, 金吉路, 35kV桥吉一开关 失灵保护 跳闸, 一级, 保护信号变位, , 
2024/09/02 14:45:40.111, 金吉路, RTUSOE: 35kV桥吉一开关 失灵保护 复归, 一级, 保护信号SOE, , 
2024/09/02 14:45:40.286, 金吉路, 35kV桥吉一开关 失灵保护 复归, 一级, 保护信号变位, , 
2024/09/02 14:45:51.406, 金吉路, RTUSOE: 35kV桥吉一开关 线路差动保护 跳闸, 一级, 保护信号SOE, , 
2024/09/02 14:45:51.599, 金吉路, 35kV桥吉一开关 线路差动保护 跳闸, 一级, 保护信号变位, , 
2024/09/02 14:45:55.826, 金吉路, RTUSOE: 35kV桥吉一开关 线路差动保护 复归, 一级, 保护信号SOE, , 
2024/09/02 14:45:56.088, 金吉路, 35kV桥吉一开关 线路差动保护 复归, 一级, 保护信号变位, , 
2024/09/02 14:46:06.922, 金吉路, 35kV桥吉一开关 线路差动保护故障 出现, 三级, 保护信号变位, , 
2024/09/02 14:46:15.876, 金吉路, 35kV桥吉一开关 线路差动保护故障 消失, 三级, 保护信号变位, , 
2024/09/02 14:46:27.639, 金吉路, 35kV桥吉一开关 总保护 跳闸, 一级, 保护信号变位, , 
2024/09/02 14:46:34.989, 金吉路, 35kV桥吉一开关 总保护 复归, 一级, 保护信号变位, , 
2024/09/02 14:46:41.136, 金吉路, 35kV桥吉一开关 MCB控制电源小开关 分位, 二级, 保护信号变位, , 
2024/09/02 14:46:44.949, 金吉路, 35kV桥吉一开关 MCB控制电源小开关 合位, 二级, 保护信号变位, , 
2024/09/02 14:46:52.251, 金吉路, 35kV桥吉一开关 电弧 故障, 二级, 保护信号变位, , 
2024/09/02 14:46:56.014, 金吉路, 35kV桥吉一开关 电弧 复归, 二级, 保护信号变位, , 
2024/09/02 14:47:01.608, 金吉路, 35kV桥吉一开关 弹簧状态 未储能, 三级, 保护信号变位, , 
2024/09/02 14:47:10.664, 金吉路, 35kV桥吉一开关 弹簧状态 已储能, 三级, 保护信号变位, , 
2024/09/02 14:47:18.942, 金吉路, 35kV桥吉一开关 SF6气体压力 异常, 二级, 保护信号变位, , 
2024/09/02 14:47:26.243, 金吉路, 35kV桥吉一开关 SF6气体压力 正常, 二级, 保护信号变位, , 
2024/09/02 14:47:32.037, 金吉路, 35kV桥吉一开关 跳闸回路断线 出现, 二级, 保护信号变位, , 
2024/09/02 14:47:37.530, 金吉路, 35kV桥吉一开关 跳闸回路断线 消失, 二级, 保护信号变位, , 
2024/09/02 14:47:46.311, 金吉路, 35kV桥吉一开关 定值组1 投入, 二级, 保护信号变位, , 
2024/09/02 14:47:52.307, 金吉路, 35kV桥吉一开关 定值组1 退出, 二级, 保护信号变位, , 
2024/09/02 14:47:58.605, 金吉路, 35kV桥吉一开关 定值组2 投入, 二级, 保护信号变位, , 
2024/09/02 14:48:02.569, 金吉路, 35kV桥吉一开关 定值组2 退出, 二级, 保护信号变位, , 
2024/09/02 14:48:05.304, 金吉路, 35kV桥吉一开关 定值组3 投入, 二级, 保护信号变位, , 
2024/09/02 14:48:07.435, 金吉路, 35kV桥吉一开关 定值组3 退出, 二级, 保护信号变位, , 
2024/09/02 14:58:56.881, 金吉路, 35kV桥吉二开关 操作方式 远方, 三级, 保护信号变位, , 
2024/09/02 14:59:01.095, 金吉路, 35kV桥吉二开关 操作方式 就地, 三级, 保护信号变位, , 
2024/09/02 14:59:10.223, 金吉路, RTUSOE: 35kV桥吉二母线闸刀 位置 合位, 二级, 刀闸SOE, , 
2024/09/02 14:59:11.008, 金吉路, 35kV桥吉二母线闸刀 位置 合位, 二级, 刀闸变位, , 
2024/09/02 14:59:14.054, 金吉路, RTUSOE: 35kV桥吉二母线闸刀 位置 分位, 二级, 刀闸SOE, , 
2024/09/02 14:59:14.822, 金吉路, 35kV桥吉二母线闸刀 位置 分位, 二级, 刀闸变位, , 
2024/09/02 14:59:24.336, 金吉路, RTUSOE: 35kV桥吉二接地闸刀 位置 合位, 二级, 刀闸SOE, , 
2024/09/02 14:59:25.135, 金吉路, 35kV桥吉二接地闸刀 位置 合位, 二级, 刀闸变位, , 
2024/09/02 14:59:27.507, 金吉路, RTUSOE: 35kV桥吉二接地闸刀 位置 分位, 二级, 刀闸SOE, , 
2024/09/02 14:59:28.296, 金吉路, 35kV桥吉二接地闸刀 位置 分位, 二级, 刀闸变位, , 
2024/09/02 14:59:33.186, 金吉路, RTUSOE: 35kV桥吉二开关 位置 合位, 二级, 开关SOE, , 
2024/09/02 14:59:33.965, 金吉路, 35kV桥吉二开关 位置 合位, 二级, 开关变位, , 
2024/09/02 14:59:36.071, 金吉路, RTUSOE: 35kV桥吉二开关 位置 分位, 二级, 开关SOE, , 
2024/09/02 14:59:36.850, 金吉路, 35kV桥吉二开关 位置 分位, 二级, 开关变位, , 
2024/09/02 14:59:39.677, 金吉路, RTUSOE: 35kV桥吉二开关 线路对侧地刀位置 合位, 二级, 保护信号SOE, , 
2024/09/02 14:59:40.463, 金吉路, 35kV桥吉二开关 线路对侧地刀位置 合位, 二级, 保护信号变位, , 
2024/09/02 14:59:43.806, 金吉路, RTUSOE: 35kV桥吉二开关 线路对侧地刀位置 分位, 二级, 保护信号SOE, , 
